charging_station_id,latitude,longitude,region
160411,-46.141652,168.325367,Southland
160387,-45.030802,168.661624,Unknown
160088,-37.41256656,175.1274874,Waikato
160210,-37.740247,177.675372,Bay of Plenty
160370,-44.002983,170.475634,Unknown
160374,-44.137358,171.297181,Unknown
160205,-37.660023,175.521991,Waikato
160208,-37.686622,176.16746,Bay of Plenty
160089,-37.73193201,175.2735838,Waikato
160238,-38.698202,174.619256,Waikato
160271,-40.644432,175.703665,Manawatū-Whanganui
160176,-36.811613,174.712653,Auckland
160451,-37.73008592,175.2739356,Waikato
160267,-40.452043,175.842403,Manawatū-Whanganui
160174,-43.52414449,172.3662733,Unknown
160217,-37.978411,175.758459,Waikato
160378,-44.400611,171.253465,Unknown
160506,-35.210342,173.918288,Northland
160471,-43.47959637,172.5552439,Unknown
160487,-36.998846,174.88685,Auckland
160177,-36.819835,174.608373,Auckland
160302,-41.301383,174.759694,Wellington
160171,-41.26184911,174.9461883,Wellington
160422,-41.29210258,174.0064994,Marlborough
160329,-42.812788,173.273014,Unknown
160513,-35.609095,174.525645,Northland
160164,-41.31611988,174.7941653,Wellington
160290,-41.251426,172.128479,West Coast
160125,-43.540331,172.604632,Unknown
160514,-35.684183,174.321699,Northland
160305,-41.308936,174.785277,Wellington
160413,-46.352154,168.013665,Southland
160278,-40.987489,174.95142,Wellington
160156,-43.9089175,171.7426923,Unknown
160379,-44.402278,171.25189,Unknown
160104,-43.591442,172.3776,Unknown
160453,-36.8637102,174.615322,Auckland
160160,-41.22468191,174.906075,Wellington
160128,-41.12646825,174.8375131,Wellington
160094,-37.78172061,175.2742917,Waikato
160261,-40.175295,175.385907,Manawatū-Whanganui
160516,-35.731583,174.330948,Northland
160512,-35.50505,173.391141,Northland
160323,-42.387995,173.679475,Unknown
160283,-41.123868,175.070866,Wellington
160384,-44.849429,168.38587,Unknown
160356,-43.594848,172.389072,Canterbury
160262,-40.20959,176.099002,Manawatū-Whanganui
160116,-36.77426455,174.5522723,Auckland
160522,-36.163899,174.443577,Northland
160381,-44.694064,169.139139,Unknown
160331,-42.941842,171.563088,Unknown
160135,-43.38363038,172.6576248,Unknown
160249,-39.48127,175.66963,Manawatū-Whanganui
160282,-41.116804,175.325726,Wellington
160492,-36.8652,174.773632,Auckland
160333,-43.208364,171.715379,Unknown
160468,-41.34238,173.1878264,Tasman
160429,-43.3239869,172.6643429,Canterbury
160121,-43.59049,172.630201,Unknown
160138,-41.24776407,174.9031888,Wellington
160322,-42.120066,171.866254,West Coast
160108,-41.222412,174.86925,Wellington
160440,-37.89063215,175.4674683,Waikato
160170,-41.02582482,175.5292415,Wellington
160309,-41.319325,174.784932,Wellington
160456,-36.88837675,174.8314823,Auckland
160327,-42.716811,170.96319,West Coast
160165,-36.90045521,174.8266498,Auckland
160085,-37.77855884,175.2987869,Waikato
160493,-36.86127448,174.7773301,Auckland
160485,-36.86127,174.770617,Auckland
160095,-37.77801454,175.3088286,Waikato
160311,-41.329728,174.776479,Wellington
